date,open,high,low,close,volume
2024-10-25,1547.0000,1574.7900,1546.0100,1558.8500,2774508
2024-10-28,1560.0000,1565.0000,1522.2300,1565.0000,3912140
2024-10-29,1560.0000,1580.0000,1530.0000,1531.6200,4116578
2024-10-30,1525.0000,1551.1900,1523.4100,1532.0000,3200574
2024-10-31,1532.1500,1540.0000,1520.0000,1527.7900,2995735
2024-11-01,1521.0000,1545.1300,1520.8000,1533.7500,3228392
2024-11-04,1544.9300,1550.0000,1528.0600,1548.2000,2909292
2024-11-05,1540.0000,1577.7000,1536.0100,1576.9900,4564047
2024-11-06,1575.0000,1588.9900,1561.2200,1571.0000,3763143
2024-11-07,1562.4600,1653.5000,1562.3000,1649.1400,7473872
2024-11-08,1660.8900,1667.1100,1601.0100,1609.9700,6077120
2024-11-11,1590.0000,1609.9500,1567.1900,1598.0100,4385365
2024-11-12,1589.0000,1623.0000,1573.9500,1577.2000,4922266
2024-11-13,1568.0000,1586.6600,1561.2800,1578.5000,2912526
2024-11-14,1570.0000,1594.4500,1565.6500,1573.8000,2924814
2024-11-15,1569.0000,1583.8000,1553.0000,1559.0000,3376112
2024-11-18,1562.0000,1575.9900,1555.0000,1559.0000,2709219
2024-11-19,1565.0000,1569.3700,1525.0000,1541.9200,3326643
2024-11-20,1543.0000,1553.9700,1531.3000,1544.8100,2134455
2024-11-21,1543.8700,1548.9900,1532.0000,1545.1300,1826179
2024-11-22,1541.1500,1547.7700,1507.8200,1507.8200,3343611
2024-11-25,1511.0000,1532.0000,1496.6700,1498.5700,3318556
2024-11-26,1498.5700,1518.8800,1488.8800,1509.0000,2574479
2024-11-27,1509.0000,1522.1500,1505.0000,1519.0500,2593417
2024-11-28,1522.0000,1524.9900,1502.0000,1518.0000,2395203
2024-11-29,1517.0000,1555.0000,1513.2100,1525.7400,3608810
2024-12-02,1526.0000,1529.9900,1515.1000,1525.0000,2681954
2024-12-03,1524.0000,1528.9000,1516.0800,1526.7400,2480662
2024-12-04,1520.0700,1523.6600,1510.0000,1520.0000,2392389
2024-12-05,1510.8600,1517.8600,1510.0000,1511.0000,1614147
2024-12-06,1513.0000,1538.9000,1508.0700,1521.0100,3203969
2024-12-09,1522.0200,1529.7200,1513.2000,1518.8000,1979986
2024-12-10,1570.0000,1579.7300,1545.1800,1546.5900,6031210
2024-12-11,1540.0000,1555.0000,1530.9800,1535.6000,2967112
2024-12-12,1532.0200,1566.0000,1529.0000,1565.8000,4193652
2024-12-13,1550.0100,1554.9900,1518.8800,1519.0000,4951197
2024-12-16,1521.0000,1529.0000,1510.7100,1527.2000,3253710
2024-12-17,1525.9900,1569.0000,1521.0100,1558.0000,5417163
2024-12-18,1557.9700,1577.0000,1547.1000,1571.5000,4116226
2024-12-19,1565.1400,1567.9300,1550.3300,1551.0100,2480932
2024-12-20,1531.1300,1541.8000,1520.0200,1522.0000,2815774
2024-12-23,1523.0000,1538.0000,1517.0000,1526.4500,2160269
2024-12-24,1525.0000,1544.0000,1521.5900,1538.8200,2210492
2024-12-25,1538.8000,1538.8000,1526.1000,1530.0000,1712339
2024-12-26,1534.0000,1538.7800,1523.0000,1527.7900,1828651
2024-12-27,1528.9000,1536.0000,1519.5000,1528.9700,2075932
2024-12-30,1533.9700,1543.9600,1525.0000,1525.0000,2512982
2024-12-31,1525.4000,1545.0000,1522.0100,1524.0000,3935445
2025-01-02,1524.0000,1524.4900,1480.0000,1488.0000,5002870
2025-01-03,1494.5000,1494.9900,1467.0100,1475.0000,3262836
2025-01-06,1453.0000,1462.6600,1432.8000,1440.0000,4425512
2025-01-07,1444.6600,1451.8900,1439.0000,1440.2000,2422118
2025-01-08,1440.0000,1451.8200,1426.6600,1442.5000,3525821
2025-01-09,1448.9900,1464.5800,1432.9800,1444.0000,2970565
2025-01-10,1447.1000,1451.9500,1436.0000,1436.0000,2187195
2025-01-13,1425.0000,1444.4400,1422.0100,1443.9800,2108251
2025-01-14,1444.9500,1478.6800,1442.0000,1472.5000,3095657
2025-01-15,1467.0000,1474.6000,1460.0100,1471.2700,1839934
2025-01-16,1474.0000,1482.6600,1442.0000,1446.3800,2634213
2025-01-17,1446.3900,1461.0000,1446.3800,1454.7500,1830894
2025-01-20,1461.0000,1489.7900,1460.0000,1474.8000,3140975
2025-01-21,1481.0000,1482.0000,1465.0000,1468.1500,1685604
2025-01-22,1463.2700,1467.9500,1438.0000,1441.0000,2829384
2025-01-23,1449.9700,1468.0000,1438.0000,1443.0000,2712504
2025-01-24,1442.0000,1447.7900,1430.3100,1436.0000,3136034
2025-01-27,1437.0000,1443.9700,1427.0200,1434.9900,2935646
2025-02-05,1440.0000,1443.0000,1402.2100,1403.8000,4075652
2025-02-06,1400.0100,1421.9900,1400.0100,1412.8400,2735582
2025-02-07,1413.6800,1442.6800,1403.4100,1436.0000,3724207
2025-02-10,1438.0000,1440.0000,1427.0900,1431.5100,2083979
2025-02-11,1434.9500,1435.9600,1415.9000,1418.0000,2357283
2025-02-12,1418.0000,1445.0000,1416.8800,1443.0000,2547579
2025-02-13,1443.0200,1475.2500,1434.5100,1465.0600,4338536
2025-02-14,1465.0600,1477.0000,1458.2200,1475.0000,2709992
2025-02-17,1481.0000,1494.9800,1467.1000,1471.6200,3247059
2025-02-18,1470.0000,1492.9900,1462.0800,1475.0000,2779992
2025-02-19,1475.0500,1494.4400,1464.9000,1491.0000,3239331
2025-02-20,1483.0000,1491.9700,1473.3900,1474.0000,2374973
2025-02-21,1480.0000,1496.7300,1473.0100,1488.2100,3641783
2025-02-24,1488.0000,1499.5200,1474.0000,1479.0700,3474373
2025-02-25,1470.0100,1473.3900,1452.0000,1454.0000,2838743
2025-02-26,1455.4500,1464.9600,1445.0000,1460.0100,2636609
2025-02-27,1460.0200,1489.9000,1454.0000,1485.5600,4976217
2025-02-28,1485.5000,1528.3800,1482.0000,1500.7900,5612895
2025-03-03,1502.6000,1520.9900,1481.5000,1487.0200,3159566
2025-03-04,1485.0000,1486.0000,1465.2100,1470.1100,2521121
2025-03-05,1472.0000,1474.0000,1460.1000,1466.3700,2460522
2025-03-06,1474.0000,1510.2000,1472.0800,1505.9800,4216764
2025-03-07,1503.0000,1528.3600,1503.0000,1521.0000,3799135
2025-03-10,1519.8100,1526.8800,1506.1400,1522.9000,3136907
2025-03-11,1517.0000,1548.6800,1512.0000,1548.6800,3977560
2025-03-12,1546.9600,1549.6800,1526.3500,1542.5800,2960396
2025-03-13,1544.0000,1555.5000,1530.8800,1537.7700,2572439
2025-03-14,1547.6600,1628.0100,1541.0000,1628.0100,9291315
2025-03-17,1657.0000,1657.9900,1626.8800,1637.8600,5468913
2025-03-18,1645.0400,1652.0000,1621.7000,1624.0000,3161345
2025-03-19,1624.2900,1648.0000,1623.0000,1635.7100,2738955
2025-03-20,1635.7100,1637.6000,1595.0700,1604.0000,3673677
2025-03-21,1599.0000,1612.2000,1568.8300,1573.7500,3361430
2025-03-24,1570.0000,1589.6600,1562.3800,1583.0000,2556585
2025-03-25,1588.0000,1592.8000,1566.6600,1575.5000,1767438
2025-03-26,1572.7700,1582.5800,1571.0000,1576.0000,1432356
2025-03-27,1576.0000,1598.2500,1573.3800,1589.0000,1795563
2025-03-28,1590.9300,1593.0000,1576.0000,1585.2100,1622789
2025-03-31,1580.9800,1586.9600,1560.0600,1561.0000,2108494
2025-04-01,1564.0000,1569.8900,1552.2100,1556.0200,1855644
2025-04-02,1558.0000,1567.8000,1545.5000,1549.0200,2167401
2025-04-03,1530.0000,1586.0000,1529.0100,1568.8800,3548050
2025-04-07,1520.0100,1536.8500,1462.0000,1500.0000,10195267
2025-04-08,1513.0000,1545.0000,1495.0000,1545.0000,7387649
2025-04-09,1525.0200,1556.8000,1520.5500,1541.0400,5563004
2025-04-10,1550.9900,1555.0000,1528.0000,1549.0000,3862021
2025-04-11,1579.9700,1579.9700,1545.0000,1568.9800,3263423
2025-04-14,1560.9700,1566.0000,1551.5300,1551.9900,2171144
2025-04-15,1552.0000,1565.0000,1545.0000,1558.0000,2148928
2025-04-16,1552.0000,1576.0000,1537.0000,1559.1700,3115605
2025-04-17,1554.0000,1576.5000,1549.9900,1570.0000,2384605
2025-04-18,1566.0000,1575.0000,1556.0000,1565.9400,2029848
2025-04-21,1565.5000,1565.5000,1551.0000,1551.0000,1805703
2025-04-22,1550.0000,1556.3000,1543.2100,1548.8000,1843214
2025-04-23,1559.0000,1559.2200,1545.0000,1552.0000,1866876
2025-04-24,1552.0000,1560.6800,1548.9800,1552.2500,1487181
2025-04-25,1557.1000,1561.2000,1550.0000,1550.0000,1476490
2025-04-28,1552.0000,1555.0000,1546.6000,1550.0000,1465972
2025-04-29,1550.0000,1552.5400,1532.0200,1544.0000,1892180
2025-04-30,1549.9900,1566.6600,1546.3000,1547.0000,2575425
2025-05-06,1559.0000,1559.0000,1544.3300,1550.2000,1830026
2025-05-07,1570.0000,1570.0000,1550.2000,1555.0000,2746221
2025-05-08,1553.0000,1592.7800,1549.8300,1578.1900,3348106
2025-05-09,1578.9900,1597.4500,1575.0500,1591.1800,2367190
2025-05-12,1598.0000,1618.9300,1596.6100,1604.5000,2473533
2025-05-13,1608.9200,1608.9200,1585.1100,1590.3000,2125829
2025-05-14,1590.0000,1645.0000,1588.1800,1634.9900,3946012
2025-05-15,1634.8000,1643.5900,1624.1300,1632.0100,2473285
2025-05-16,1633.9900,1636.9900,1614.1300,1614.1300,2293522
2025-05-19,1596.0000,1600.0000,1573.8800,1578.9800,3806283
2025-05-20,1580.0000,1594.8000,1575.1000,1586.0000,1952153
2025-05-21,1585.0000,1595.9400,1580.9700,1580.9700,1979464
2025-05-22,1580.9900,1584.9900,1570.1000,1580.0000,1509024
2025-05-23,1575.2000,1587.9000,1571.6600,1572.6000,2153700
2025-05-26,1570.0000,1574.6300,1545.0000,1550.5000,2708653
2025-05-27,1551.0000,1558.6000,1543.5100,1543.9000,1775213
2025-05-28,1543.9900,1546.4600,1533.0000,1537.0000,1626568
2025-05-29,1540.0000,1555.0000,1532.0000,1540.0000,2185958
2025-05-30,1540.1500,1545.0000,1515.2400,1522.0000,3123918
2025-06-03,1508.0100,1519.0000,1505.0200,1509.0000,2897918
2025-06-04,1510.5000,1523.0000,1509.2200,1509.9600,2300809
2025-06-05,1514.0000,1516.0000,1502.2000,1514.0000,2321366
2025-06-06,1513.8000,1518.9700,1503.0000,1506.3900,2502307
2025-06-09,1505.0200,1508.7000,1485.6800,1486.1100,4495867
2025-06-10,1486.0000,1492.0000,1474.8000,1475.0100,3049220
2025-06-11,1476.8000,1494.0000,1476.1000,1480.0000,3089282
2025-06-12,1480.0000,1483.8700,1454.1000,1459.0000,4990361
2025-06-13,1444.4100,1449.9700,1425.0600,1426.9500,5911325
2025-06-16,1401.2000,1425.0400,1401.1800,1422.2900,4288787
2025-06-17,1420.0000,1427.0000,1412.1800,1427.0000,2723151
